C_SOURCE;C_ORG_ID;C_ORG;I_CONTR;C_BDGT_CONTRSTAT;C_BDGT_CONTRINEX;C_BDGT_ANGGARAN;C_PGM;C_PGM_SUB;C_PGM_VER;C_COA_DR;C_COA_CR;C_CY;V_BDGT_MONTH1;V_BDGT_MONTH2;V_BDGT_MONTH3;V_BDGT_MONTH4;V_BDGT_MONTH5;V_BDGT_MONTH6;V_BDGT_MONTH7;V_BDGT_MONTH8;V_BDGT_MONTH9;V_BDGT_MONTH10;V_BDGT_MONTH11;V_BDGT_MONTH12;V_BDGT_TOTAL;V_BDGT_SALDOMONTH1;V_BDGT_SALDOMONTH2;V_BDGT_SALDOMONTH3;V_BDGT_SALDOMONTH4;V_BDGT_SALDOMONTH5;V_BDGT_SALDOMONTH6;V_BDGT_SALDOMONTH7;V_BDGT_SALDOMONTH8;V_BDGT_SALDOMONTH9;V_BDGT_SALDOMONTH10;V_BDGT_SALDOMONTH11;V_BDGT_SALDOMONTH12;V_BDGT_SALDOTOTAL;I_ENTRY;D_ENTRY;C_ORG_CENTER;C_ORG_DIT;C_BDGT_CAT;V_BDGT_PLANMONTH1;V_BDGT_PLANMONTH2;V_BDGT_PLANMONTH3;V_BDGT_PLANMONTH4;V_BDGT_PLANMONTH5;V_BDGT_PLANMONTH6;V_BDGT_PLANMONTH7;V_BDGT_PLANMONTH8;V_BDGT_PLANMONTH9;V_BDGT_PLANMONTH10;V_BDGT_PLANMONTH11;V_BDGT_PLANMONTH12;V_BDGT_PLANTOTAL;C_STAT_BDGT;I_REF_UPDBDGT;D_REF_UPDBDGT;C_ORG_CONTR;V_BDGT_ADDMONTH1;V_BDGT_ADDMONTH2;V_BDGT_ADDMONTH3;V_BDGT_ADDMONTH4;V_BDGT_ADDMONTH5;V_BDGT_ADDMONTH6;V_BDGT_ADDMONTH7;V_BDGT_ADDMONTH8;V_BDGT_ADDMONTH9;V_BDGT_ADDMONTH10;V_BDGT_ADDMONTH11;V_BDGT_ADDMONTH12;V_BDGT_ADDTOTAL;C_BDGT_STAT;I_PMN;D_PMN;I_ORDER
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;69A;A23;IDR;0;0;0;0;0;1563000;1563000;1563000;1563000;1563000;1563000;1563000;10941000;0;0;0;0;0;1563000;1563000;1563000;1563000;1563000;1563000;1563000;10941000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;0;1563000;1563000;1563000;1563000;1563000;1563000;1563000;10941000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;70A;A23;IDR;1563000;313000;0;763000;1094000;1250000;1094000;1094000;1094000;1094000;1250000;1094000;11703000;1563000;313000;0;763000;1094000;1250000;1094000;1094000;1094000;1094000;1250000;1094000;11703000;900293;0005-07-21 00:00:00.000;AK0000;;-;1563000;313000;0;763000;1094000;1250000;1094000;1094000;1094000;1094000;1250000;1094000;11703000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;70D;A23;IDR;0;0;0;156000;156000;156000;156000;156000;156000;156000;156000;156000;1404000;0;0;0;156000;156000;156000;156000;156000;156000;156000;156000;156000;1404000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;156000;156000;156000;156000;156000;156000;156000;156000;156000;1404000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;72C;A23;IDR;0;0;0;0;1438000;1438000;1438000;1438000;1438000;1438000;1438000;1347000;11413000;0;0;0;0;1438000;1438000;1438000;1438000;1438000;1438000;1438000;1347000;11413000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;0;1438000;1438000;1438000;1438000;1438000;1438000;1438000;1347000;11413000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;62C;A23;IDR;0;0;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;12500000;0;0;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;12500000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;1250000;12500000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;62D;A23;IDR;0;0;0;834000;834000;834000;834000;834000;834000;828000;828000;825000;7485000;0;0;0;834000;834000;834000;834000;834000;834000;828000;828000;825000;7485000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;834000;834000;834000;834000;834000;834000;828000;828000;825000;7485000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;63A;A23;IDR;1563000;1094000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;18287000;1563000;1094000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;18287000;900293;0005-07-21 00:00:00.000;AK0000;;-;1563000;1094000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;18287000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;66A;A23;IDR;625000;625000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;12500000;625000;625000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;12500000;900293;0005-07-21 00:00:00.000;AK0000;;-;625000;625000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;1125000;12500000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;66B;A23;IDR;0;0;0;781000;781000;781000;781000;781000;781000;781000;781000;781000;7029000;0;0;0;781000;781000;781000;781000;781000;781000;781000;781000;781000;7029000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;781000;781000;781000;781000;781000;781000;781000;781000;781000;7029000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;66E;A23;IDR;0;0;406000;406000;406000;406000;406000;406000;406000;406000;406000;406000;4060000;0;0;406000;406000;406000;406000;406000;406000;406000;406000;406000;406000;4060000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;406000;406000;406000;406000;406000;406000;406000;406000;406000;406000;4060000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;66F;A23;IDR;0;0;0;156000;156000;156000;156000;156000;156000;156000;156000;156000;1404000;0;0;0;156000;156000;156000;156000;156000;156000;156000;156000;156000;1404000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;156000;156000;156000;156000;156000;156000;156000;156000;156000;1404000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;67A;A23;IDR;0;0;0;1875000;1875000;1875000;1875000;1875000;1875000;1875000;1875000;1875000;16875000;0;0;0;1875000;1875000;1875000;1875000;1875000;1875000;1875000;1875000;1875000;16875000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;0;0;1875000;1875000;1875000;1875000;1875000;1875000;1875000;1875000;1875000;16875000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;67B;A23;IDR;0;313000;156000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1094000;14067000;0;313000;156000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1094000;14067000;900293;0005-07-21 00:00:00.000;AK0000;;-;0;313000;156000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1563000;1094000;14067000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50D;A23;IDR;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;17304000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;17304000;900293;0005-07-21 00:00:00.000;AK0000;;-;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;1442000;17304000;;;;AI0000;;;;;;;;;;;;;;;;;
COL;CO;AK0000;Operasional Thn 2000;A3 ;I  ;2000;GS;COR;902;50E;A23;IDR;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;29616000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;29616000;900293;0005-07-21 00:00:00.000;AK0000;;-;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;2468000;29616000;;;;AI0000;;;;;;;;;;;;;;;;;
