I_ID_CONTR;C_ORG_CONTR;I_CONTR;I_CONTR_REF;N_CONTR_PROJ
1;KU0000;183/AM3000/03/2013;183/AM3000/03/2013;PINJAM PAKAI LAHAN GEDUNG DIRGANTARA II                                                             
2;KU0000;152/AM3000/03/2013-P;152/AM3000/03/2013-P;PINJAM PAKAI LAHAN GEDUNG DIRGANTARA II                                                             
3;KU0000;152/AM3000/03/2013;152/AM3000/03/2013;PINJAM PAKAI LAHAN GEDUNG DIRGANTARA II                                                             
4;KU0000;191/AM3000/03/2013;191/AM3000/03/2013;PINJAM PAKAI LAHAN GEDUNG DIRGANTARA I                                                              
5;AS0000;P4020;P4020;SPARE PART SALES                                                                                    
6;KU0000;SPER/819/037.06/PTD/02/2013;SPER/819/037.06/PTD/02/2013;PINJAM PAKAI PENGGUNAAN FASILITAS UNTUK ATM BRI DI AREA POS 3 KP-2                                  
7;KU0000;170/AM3000/03/2013;170/AM3000/03/2013;PENAGIHAN BIAYA PEMAKAIAN TELPON KANTOR KAS BRI DI PKSN                                             
8;KU0000;166/AM3000/03/2013;166/AM3000/03/2013;PENAGIHAN BIAYA PEMAKAIAN,PERAWATAN JARINGAN TELPON FEB 2013                                        
9;TD0000;SOW RD-02-3132012;SOW DT-1301;Pembuatan Database Dokumens Flight System                                                           
10;LM0000;PO : 21032;BA : 03/LM4200/IX/2002;Servo Machine Manesty Repair                                                                        
11;IT0000;1003/496.13/IT0000/7/01;1003/496.13/IT0000/7/01;APLIKASI KK,KTP,AK SERTA PENGADAAN H/W                                                              
12;AS0000;KAI-IAE-001-TEST;KAI-IAE-001-TEST;B737 INSPAR WING RIB #2 - KAI PROGRAM                                                               
13;IT0000;1536/-1.823.508;1536/-1.823.508;REDESIGN & PEMELIHARAAN INTERNET                                                                    
14;MS0000;FZ-821506-8982N;FZ-821506-8982N;#1180 Pressure Bulkhead Assembly B-757                                                              
15;MS0000;GARUDA/TB/SPK-2031/2002;DS/PERJ/DT-3203/99;Jasa Perawatan Pesawat Terbang                                                                      
16;IT0000;1170/E16000/2002-S5;1170/E16000/2002-S5;SISTEM  PENGEM. SDM BERBASIS KOPENTENSI                                                             
17;DT0000;002/ITTP-TC/IR-DI/IX/2001;002/ITTP-TC/IR-DI/IX/2001;ITTP-TC                                                                                             
18;KU0000;004/ACS/IR-DI/IX/2001;004/ACS/IR-DI/IX/2001;Procurement S Parts                                                                                 
19;TD0000;090/KS/IX/2002;090/KS/IX/2002;FFM ANALYSIS                                                                                        
20;IT0000;074/496.13/IT0000/02/2002;074/496.13/IT0000/02/2002;PAYROLL MAINTENANCE                                                                                 
21;IN0000;033/F/02;033/F/02;NC212 Interior Repair                                                                               
22;IT0000;165/496.13/IT0000/02/2002;165/496.13/IT0000/02/2002;SIUDIN MAINTENANCE                                                                                  
23;IT0000;073/496.13/IT0000/01/2002;073/496.13/IT0000/01/2002;SIUDIN MAINTENANCE                                                                                  
24;IT0000;1285/RBI/2002;1285/RBI/2002;TA                                                                                                  
25;IT0000;006/GN/X/2001;006/GN/X/2001;MAINTENANCE CATIA SYSTEM                                                                            
26;IT0000;PP-0112-IT045;PP-0112-IT045;SIMKU                                                                                               
27;IT0000;181/073.555;181/073.555;SOFTWARE ORACLE                                                                                     
28;IT0000;1458/496.13/IT0000/X/2001;1458/496.13/IT0000/X/2001;SIMPEG (GARANSI)                                                                                    
29;IT0000;0075-5/IO/DU/PO-PC/2002;0075-5/IO/DU/PO-PC/2002;PENGADAAN PC (4 UNIT)                                                                               
30;IT0000;0061-4/IO/DU/2002;0061-4/IO/DU/2002;PELATIHAN EKSEKUTIF OASE                                                                            
31;IT0000;08/PIMPEO-PKSDM/05/2002;08/PIMPEO-PKSDM/05/2002;KELAS WEB DESIGN & BSCW                                                                             
32;IT0000;034/496.13/IT0000/2/2002;034/496.13/IT0000/2/2002;SIUDIN PUPUK KUJANG                                                                                 
33;IT0000;036/496.13/IT0000/01/2002;036/496.13/IT0000/01/2002;SIUDIN VONEX                                                                                        
34;FT0000;GARUDA/VZ/Perj./1001/02;GARUDA/VZ/Perj./1001/02;PERBAIKAN SLIDE RAFT & LIFE RAFT                                                                    
35;LM0000;13/SPK/UPT-LAGG/BPPT/IX/2001;Com.Inv.: CI-0110-38037;Jasa Peralatan Test di Serpong                                                                      
36;IT0000;01/PRY/2002;01/PRY/2002;PEMBANGUNAN SI SEMARANG JAWA TENGAH                                                                 
37;TD0000;73/PO/SBU-ITS/06/01;73/PO/SBU-ITS/06/01;Diesel Piston Tunggal 20 PK                                                                         
38;LM0000;11/SPK-Re/Log-KDL/0802;BA : tbd dan Com. Inv.: tbd;Battery Charger Repair                                                                              
39;FT0000;GSE/27/04/2002;QUOTATION No. 011/Q/FTC/04/02;PEMBUATAN TOW-HEAD TOW BAR B737-200                                                                 
40;FT0000;PO No. GSE/001/01/2002;QUOTATION No..032/Q/FTC/12/01;PEMBUATAN TOWBAR FOKKER-100 (F100SPC) & B-737-200 (B737-200SPC)                                     
41;FT0000;PO No. F/037/04/02;PO No. F/037/04/02;PENGUJIAN PERFORMANCE QUALIFICATION TEST STERILMATIC                                                
42;FT0000;94/KO1.9.11/DN/2002;94/KO1.9.11/DN/2002;PERBANTUAN TENAGA AHLI PERANGKAT LUNAK                                                              
43;FT0000;SPK/001/CSM/I&M/DIR/V/02;SPK/001/CSM/I&M/DIR/V/02;PEMASANGAN INSTALASI TRACKING & COMMISSIONING PERANGKAT CSM-LINK                                    
44;FT0000;001/K/DIR-KU/PAS/2002;0148/HE7000/01/2000;PERBANT. PERS. PENERBANG PT. DI DI PT. PAS                                                          
45;IN0000;045/F/02;045/F/02;Blanket C212                                                                                        
46;IN0000;047/F/02;047/F/02;Blanket C212                                                                                        
47;IN0000;059/F/02;059/F/02;Engine Harness                                                                                      
48;FT0000;VZ/Perj-1022/2001;QUOTATION/86/FT5000/09/2001;TRAINING ELECT& JARINGAN                                                                            
49;IT0000;4/7/DSDM;4/7/DSDM;PELATIHAN ORACLE DATA BASE                                                                          
50;IT0000;SP-429/VI/2002;SP-429/VI/2002;PERPANJANGAN SIUDIN PERURI                                                                          
 ;;;;
