d_proc_gaji,c_org_cur,i_inv_gaji,c_bank_gaji,c_emp_payloc,v_emp_tunjgaji,v_emp_potgaji
2025-01-22 00:00:00,CF4300,25/01/BG/00001,BNI,KP2,5500000,0
2025-01-22 00:00:00,IT3000,25/01/BG/00001,KAS,KP2,7000000,0
2025-01-22 00:00:00,IT3000,EMPREF0089,KAS,KP2,5250000,0
2025-01-22 00:00:00,IT5100,25/01/BG/00001,BRI,KP2,14250000,0
2025-01-23 00:00:00,CF1000,25/01/BG/00001,KAS,JKT,13000000,0
2025-01-23 00:00:00,CFA100,25/01/BG/00001,BBD,KP2,16250000,0
2025-01-23 00:00:00,IT1100,25/01/BG/00001,KAS,JKT,9500000,0
2025-01-23 00:00:00,IT4100,25/01/BG/00001,BRI,BDG,7750000,0
2025-01-23 00:00:00,IT5100,25/01/BG/00001,KAS,KP2,12750000,2950000
2025-01-24 00:00:00,CF4100,25/01/BG/00001,KAS,BDG,16000000,0
2025-01-24 00:00:00,CF4300,25/01/BG/00001,BRI,SBY,11500000,1050000
2025-01-24 00:00:00,CF5000,25/01/BG/00001,KAS,KP2,10250000,0
2025-01-24 00:00:00,IT1000,EMPREF0077,BRI,KP2,5000000,0
2025-01-24 00:00:00,IT1200,25/01/BG/00001,BRI,MKS,10250000,0
2025-01-24 00:00:00,IT2300,EMPREF0079,BRI,BDG,14750000,0
2025-02-03 00:00:00,CF1100,25/01/BG/00001,BNI,SBY,5500000,0
2025-02-03 00:00:00,CF1200,25/01/BG/00001,BBD,KP2,11000000,1350000
2025-02-03 00:00:00,CF1200,EMPREF0096,KAS,SBY,7250000,0
2025-02-03 00:00:00,CF4200,25/01/BG/00001,KAS,KP2,17750000,2550000
2025-02-03 00:00:00,IT1200,25/01/BG/00001,KAS,MKS,17500000,600000
2025-02-03 00:00:00,IT1300,EMPREF0100,KAS,MKS,14750000,0
2025-02-03 00:00:00,IT4100,25/01/BG/00001,KAS,KP2,11500000,0
2025-02-03 00:00:00,IT5000,25/01/BG/00001,BBD,KP2,15000000,0
2025-02-21 00:00:00,CF1000,25/02/BG/00001,BNI,KP2,13250000,550000
2025-02-21 00:00:00,CF2200,EMPREF0072,BBD,KP2,17500000,0
2025-02-21 00:00:00,CF3100,EMPREF0081,BBD,MKS,9000000,0
2025-02-21 00:00:00,IT2000,25/02/BG/00001,BNI,KP2,9750000,0
2025-02-21 00:00:00,IT3000,25/02/BG/00001,KAS,JKT,13500000,0
2025-02-21 00:00:00,IT4200,EMPREF0090,KAS,KP2,6250000,0
2025-02-21 00:00:00,IT5100,25/02/BG/00001,BRI,KP2,9250000,2250000
2025-03-17 00:00:00,CF0000,25/03/BG/00004,BRI,KP2,15750000,0
2025-03-17 00:00:00,CF1200,EMPREF0093,KAS,SBY,8750000,0
2025-03-17 00:00:00,CF2000,EMPREF0076,BNI,KP2,12250000,0
2025-03-17 00:00:00,CF2100,25/03/BG/00004,KAS,KP2,9500000,2950000
2025-03-17 00:00:00,IT1100,EMPREF0075,BNI,KP2,18000000,0
2025-03-17 00:00:00,IT3000,25/03/BG/00004,KAS,MKS,10750000,0
2025-03-17 00:00:00,IT4100,25/03/BG/00004,BRI,KP2,7750000,0
2025-03-17 00:00:00,IT5200,25/03/BG/00004,BBD,MKS,16250000,0
2025-03-24 00:00:00,CF2100,25/03/BG/00001,BRI,BDG,16000000,0
2025-03-24 00:00:00,CF3100,25/03/BG/00001,BNI,KP2,12500000,0
2025-03-24 00:00:00,CF4300,EMPREF0080,BNI,BDG,11750000,0
2025-03-24 00:00:00,IT1200,25/03/BG/00001,BNI,SBY,7500000,1750000
