c_org_cur,n_org 
CF0000,Divisi Keuangan Korporat
CF1000,Departemen Pendanaan dan Analisis Keuangan
CF1100,Bidang Fasilitas Pembiayaan
CF1200,Bidang Analisis Kelayakan Finansial
CF1300,Bidang Pelaporan dan Pemantauan Pendanaan
CF1A00,Fungsional Manajemen Rekening dan Perjanjian Kas
CF2000,Departemen Perbendaharaan dan Investasi
CF2100,Bidang Pengelolaan Pembayaran
CF2200,Bidang Manajemen Dana dan Investasi
CF2300,Bidang Administrasi dan Pengawasan Perbendaharaan
CF3000,Departemen Pembiayaan Perdagangan
CF3100,Bidang Operasional Pembiayaan Perdagangan
CF3200,Bidang Kepatuhan dan Pengawasan Pembiayaan Perdagangan
CF3300,Bidang Hubungan Perbankan dan Pembiayaan Ekspor
CF3400,Bidang Administrasi dan Monitoring Pembiayaan Perdagangan
CF4000,Departemen Mitra Bisnis Keuangan
CF4100,Bidang Perencanaan dan Pengendalian Anggaran Program
CF4200,Bidang Pemeriksaan dan Verifikasi Keuangan
CF4300,Bidang Kemitraan dan Pelaporan Keuangan Program
CF4400,Bidang Verifikasi Layanan Korporat
CF5000,Departemen Keuangan Bisnis Produk dan Manufaktur
CF5100,Bidang Perencanaan Anggaran Produk dan Manufaktur
CF5200,Bidang Verifikasi Keuangan Produk dan Struktur
CF5300,Bidang Administrasi dan Monitoring Keuangan Produk
CF5400,Bidang Pembayaran Layanan Bisnis
CF6000,Departemen Keuangan Bisnis Rekayasa dan Operasional
CF6100,Bidang Perencanaan Anggaran Rekayasa dan Operasional
CF6200,Bidang Verifikasi Keuangan Rekayasa
CF6300,Bidang Administrasi dan Monitoring Keuangan Rekayasa
CF6400,Bidang Monitoring dan Pelaporan Pengembangan Bisnis
CF7000,Departemen Pajak dan Manajemen Risiko
CF7100,Bidang Pemeriksaan dan Verifikasi Perpajakan
CF7200,Bidang Pelaporan Pajak Penghasilan dan Pajak Pertambahan Nilai
CF7300,Bidang Perencanaan dan Pelaporan Pajak Perusahaan
CF7400,Bidang Pengelolaan Asuransi Korporat
