d_proc_gaji,i_jour,c_bank_gaji,c_emp_payloc,c_org_echl,c_org_cur,v_tot_tunjgaji,v_tot_potgaji,v_gaji_bersih,c_cost
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT0000,20820514,0,20820514,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT5300,1238349,0,1238349,50D
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT1200,10825624,364396,10461228,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT5000,23730125,0,23730125,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT0000,430291,0,430291,50D
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1200,2380542,0,2380542,50D
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT2400,960100,0,960100,50D
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT5300,366015,0,366015,50D
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT4200,62922069,0,62922069,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1000,66410192,796622,65613570,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT0000,34765948,0,34765948,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT3000,13519716,0,13519716,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT5200,50461006,0,50461006,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT2300,2921202,0,2921202,50D
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT4300,49431061,0,49431061,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT2000,439815,0,439815,50D
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT0000,61531274,1223159,60308115,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT4100,35242830,0,35242830,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT1300,63073993,0,63073993,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT4000,37025338,946892,36078446,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT2000,34367953,801518,33566435,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1300,21439557,1137903,20301654,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1200,36707910,0,36707910,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1200,34203176,793181,33409995,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT4300,68313032,0,68313032,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT4100,71669085,0,71669085,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT4000,39169416,0,39169416,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT5100,50161899,0,50161899,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT2300,33357673,742822,32614851,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT5200,45648728,0,45648728,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT3000,14392250,699640,13692610,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT2000,70408281,0,70408281,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT2300,32635397,208247,32427150,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT1200,27827686,0,27827686,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1300,19715233,0,19715233,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT2300,30698885,315890,30382995,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT5100,2933854,0,2933854,50D
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT1000,56689520,0,56689520,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT1300,40743469,0,40743469,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT2300,35838543,0,35838543,50A
2025-03-21,25/03/BG/00001,BBD,KP2,IT,IT5300,24344073,0,24344073,50A
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT3000,380940,0,380940,50D
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT4200,850270,0,850270,50D
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT5000,49671175,0,49671175,50A
2025-03-21,25/03/BG/00001,BNI,KP2,IT,IT1100,3034750,507959,2526791,50D
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT5300,2708431,198121,2510310,50D
2025-03-21,25/03/BG/00001,BRI,KP2,IT,IT2400,47588133,0,47588133,50A
