C_PGM;C_PGM_SUB;C_PGM_VER;E_PGM;C_ORG_CORE;C_COST;E_COST;C_PGM_VERGRP;E_PGM_VERGRP;C_PGM_VERACT;C_COST_HPP;E_COST_HPP
15;SVC;154;SERVICES - DESIGN, INSTALL , IMPLEMENTASI MAINT. & SUPPORT JARINGAN COMPUTER.;IT;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
MP;BNC;FA1;MANUFACTURING PART  BONDING ;FK;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
35;SVC;35D;PELAYANAN MAN POWER;TS;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;OPN;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
35;SVC;35E;PELAYANAN PENGETESAN ;TS;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
EQ;EQL;TF2;HEAVY/LIGHT  EQUIPMENT UNTUK INDUSTRI PENERBANGAN;TL;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
30;SVC;30B;MANUFACTURING MAN POWER;TL;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;OPN;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
EQ;EQL;TF7;HEAVY/LIGHT  EQUIPMENT UNTUK INDUSTRI PERTAMBANGAN;TL;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;OPN;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
11;SVC;11D;PELAYANAN RAWAT JALAN UMUM;MC;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
MP;MCH;FB6; MANUFACTURING PART  MACHINING  UNTUK INDUSTRI ELECTRONICS;FK;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
MP;MCH;FB7; MANUFACTURING PART  MACHINING  UNTUK INDUSTRI TRANSPORTASI;FK;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
MP;SMW;FC2; MANUFACTURING PART  SHEET METAL & WELDING  UNTUK INDUSTRI POWER UTILITIES;FK;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
MP;SMW;FC3; MANUFACTURING PART  SHEET METAL & WELDING  UNTUK INDUSTRI TEXTILE;FK;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
MP;SMW;FC6; MANUFACTURING PART  SHEET METAL & WELDING  UNTUK INDUSTRI ELECTRONICS;FK;10E;HASIL PENJUALAN SP & COMP NON PESAWAT;NAC;NON AC;CLS;14E;HARGA POKOK PENJUALAN SP & COMP NON A/C & H/C
PU;SPR;S13;SPARE PART ;HE;10D;HASIL PENJUALAN SP & COMP A/C & H/C;SPR;SPARE PARTS;CLS;14D;HARGA POKOK PENJUALAN S P & COMP A/C & H/C
46;SVC;46L;A/C MAINTENANCE TRAINING;FT;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
AS;M99;G60;HELICOPTER ;AC;10B;HASIL PENJUALAN HELICOPTER;ACF;AIRCRAFT;OPN;14B;HARGA POKOK PENJUALAN HELICOPTER
46;SVC;46P;INCIDENT/ACCIDENT INVESTIGATION TRAINING;FT;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
14;SVC;14F;COFFEE BREAK;HM;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
14;SVC;14H;DINNER BUFFET;HM;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
15;ASM;15A;PC NUSANTARA & ACCESSORIES;IT;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
15;LEA;15C;LEASING - SOFTWARE APLIKASI;IT;11C;HASIL PENJUALAN JASA PAKET PEKERJAAN;JAS;JASA;CLS;15C;HARGA POKOK PENJUALAN PAKET PEKERJAAN
GS;COR;923;Aplication Development;CO;-;-;-;-;OPN;-;-
GS;COR;924;Method & Policy Development;CO;-;-;-;-;OPN;-;-
GS;COR;926;Hak Kekayaan Intelektual;CO;-;-;-;-;OPN;-;-
